Configuration,Language,File Path,Successfully Extracted,Failure Reason
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/whatsapp.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/bus/busPage.utils.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/services/movementMembership.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/services/directSupabaseIntegrity.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/auth/AccountRecovery.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/MobileBottomNav.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/jobQueue.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/analytics/domain/events.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/app/pages/AppSurfaces.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/pages/waselCorePageHelpers.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/service-worker.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/supabase/client.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/logging.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/legal/TermsOfService.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/mobility-os/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/platform/microservices/healthMonitor.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/e2e/core-flows.spec.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/services/supportInbox.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/EnhancedMobileBottomNav.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/system/AvailabilityBanner.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/ui/card.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/pages/WaselServicePage.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/domains/notifications/domain/events.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/e2e/auth-surface.spec.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/wasel-ui/WaselInput.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/LiveTripTracking.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/packages/components/PackageTrackPanel.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/package-delivery/ReturnMatching.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/modules/bus/bus.controller.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/design-system/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/design-system/components/Tabs.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/movementMembership.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/auth.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/contexts/LanguageContext.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/pages/WaselAuthCallback.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/features/notifications/NotificationsPage.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/types/kv-store.types.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/storage/rideSyncOrchestrator.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/utils/clipboard.test.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/utils/startupDom.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/packageTrackingService.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/contracts/wallet.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/NotificationCenter.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/figma/index.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/components/IntelligentSearchInterface.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/modules/rides/ride.hooks.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/services/runtimePolicy.ts,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,src/contexts/LocalAuth.tsx,true,""
.github/workflows/security.yml:codeql/language:javascript-typescript,TypeScript,tests/unit/components/MobileBottomNav.test.tsx,true,""
